Sort,State,Range,Rate
0,AK,164.2 to 174.4,173.1
1,AL,174.5 to 199.3,182.1
2,AR,174.5 to 199.3,189.6
3,AZ,127.9 to 155.3,146.4
4,CA,127.9 to 155.3,146.6
5,CO,127.9 to 155.3,139.2
6,CT,127.9 to 155.3,147.8
7,DE,164.2 to 174.4,167.1
8,FL,127.9 to 155.3,154.9
9,GA,164.2 to 174.4,168.1
10,HI,127.9 to 155.3,134.9
11,IA,164.2 to 174.4,168.2
12,ID,155.4 to 164.1,156.3
13,IL,164.2 to 174.4,171.7
14,IN,174.5 to 199.3,179.4
15,KS,155.4 to 164.1,162.9
16,KY,174.5 to 199.3,199.3
17,LA,174.5 to 199.3,188.7
18,MA,155.4 to 164.1,159.7
19,MD,155.4 to 164.1,163
20,ME,174.5 to 199.3,174.8
21,MI,164.2 to 174.4,170.2
22,MN,127.9 to 155.3,155.1
23,MO,174.5 to 199.3,179.1
24,MS,174.5 to 199.3,196.5
25,MT,127.9 to 155.3,154
26,NC,164.2 to 174.4,167.7
27,ND,127.9 to 155.3,150.8
28,NE,155.4 to 164.1,160.7
29,NH,155.4 to 164.1,158.6
30,NJ,155.4 to 164.1,156
31,NM,127.9 to 155.3,145.1
32,NV,164.2 to 174.4,164.9
33,NY,155.4 to 164.1,155.5
34,OH,174.5 to 199.3,177.4
35,OK,174.5 to 199.3,185.4
36,OR,155.4 to 164.1,163.2
37,PA,164.2 to 174.4,170
38,RI,164.2 to 174.4,173.9
39,SC,164.2 to 174.4,174
40,SD,127.9 to 155.3,154.1
41,TN,174.5 to 199.3,185.4
42,TX,155.4 to 164.1,156.9
43,UT,127.9 to 155.3,127.9
44,VA,155.4 to 164.1,162.3
45,VT,155.4 to 164.1,164.1
46,WA,155.4 to 164.1,156.3
47,WI,164.2 to 174.4,164.6
48,WV,174.5 to 199.3,190.5
49,WY,127.9 to 155.3,147.7
